stride,hits_per_kb,bytes,engine,ms_min,ms_median,ms_mean,iters,reps
114,7.5433,1000097,v7_pipeline,112.996,113.437,113.652,10,5
114,7.5433,1000097,v15,408.426,408.858,409.559,10,5
114,7.5433,1000097,v18,182.374,182.447,183.386,10,5
114,7.5433,1000097,v18_1,97.181,97.533,97.515,10,5
114,7.5433,1000097,v19,76.914,77.4,77.382,10,5
179,5.1009,1000111,ruby,155.901,158.002,158.108,10,5
179,5.1009,1000111,c_today,70.699,71.176,71.369,10,5
179,5.1009,1000111,glibc_baseline,1297.805,1306.23,1317.36,10,5
179,5.1009,1000111,onigmo,181.224,183.47,184.521,10,5
179,5.1009,1000111,pcre2jit,43.86,44.415,44.497,10,5
179,5.1009,1000111,v7_pipeline,93.189,94.799,95.403,10,5
179,5.1009,1000111,v15,407.335,421.132,422.433,10,5
179,5.1009,1000111,v18,182.39,187.667,189.081,10,5
179,5.1009,1000111,v18_1,105.836,107.754,108.364,10,5
179,5.1009,1000111,v19,82.232,83.082,83.224,10,5
280,3.3935,1000190,ruby,161.565,164.76,165.011,10,5
280,3.3935,1000190,c_today,70.694,72.057,72.102,10,5
280,3.3935,1000190,glibc_baseline,1332.794,1342.67,1341.873,10,5
280,3.3935,1000190,onigmo,167.774,169.093,169.029,10,5
280,3.3935,1000190,pcre2jit,43.856,44.67,44.558,10,5
280,3.3935,1000190,v7_pipeline,76.59,77.623,77.455,10,5
280,3.3935,1000190,v15,374.378,380.215,378.477,10,5
280,3.3935,1000190,v18,177.503,179.615,180.852,10,5
280,3.3935,1000190,v18_1,92.078,94.672,95.192,10,5
280,3.3935,1000190,v19,72.703,73.177,73.489,10,5
437,2.2322,1000411,ruby,158.029,160.533,161.206,10,5
437,2.2322,1000411,c_today,67.422,70.173,70.476,10,5
437,2.2322,1000411,glibc_baseline,1366.154,1413.929,1406.809,10,5
437,2.2322,1000411,onigmo,175.187,179.421,178.608,10,5
437,2.2322,1000411,pcre2jit,46.429,46.467,48.12,10,5
437,2.2322,1000411,v7_pipeline,72.077,72.623,73.901,10,5
437,2.2322,1000411,v15,385.769,391.066,391.369,10,5
437,2.2322,1000411,v18,182.658,183.357,183.861,10,5
437,2.2322,1000411,v18_1,94.433,94.544,94.944,10,5
437,2.2322,1000411,v19,72.923,73.078,73.145,10,5
